Team,Game,W,L,T,AVG,ERA,PCT,Year
SK 와이번스,133,84,47,2,0.274,3.71,0.632,2010
삼성 라이온즈,133,79,52,2,0.272,3.94,0.594,2010
두산 베어스,133,73,57,3,0.281,4.62,0.549,2010
롯데 자이언츠,133,69,61,3,0.288,4.82,0.519,2010
KIA 타이거즈,133,59,74,0,0.26,4.39,0.444,2010
LG 트윈스,133,57,71,5,0.276,5.23,0.429,2010
넥센 히어로즈,133,52,78,3,0.262,4.55,0.391,2010
한화 이글스,133,49,82,2,0.244,5.43,0.368,2010
삼성 라이온즈,133,79,50,4,0.259,3.35,0.612,2011
SK 와이번스,133,71,59,3,0.263,3.59,0.546,2011
롯데 자이언츠,133,72,56,5,0.288,4.2,0.563,2011
KIA 타이거즈,133,70,63,0,0.269,4.1,0.526,2011
두산 베어스,133,61,70,2,0.271,4.26,0.466,2011
LG 트윈스,133,59,72,2,0.266,4.15,0.45,2011
한화 이글스,133,59,72,2,0.255,5.11,0.45,2011
넥센 히어로즈,133,51,80,2,0.245,4.36,0.389,2011
삼성 라이온즈,133,80,51,2,0.272,3.39,0.611,2012
SK 와이번스,133,71,59,3,0.258,3.82,0.546,2012
두산 베어스,133,68,62,3,0.26,3.58,0.523,2012
롯데 자이언츠,133,65,62,6,0.263,3.48,0.512,2012
KIA 타이거즈,133,62,65,6,0.256,3.9,0.488,2012
넥센 히어로즈,133,61,69,3,0.243,3.83,0.469,2012
LG 트윈스,133,57,72,4,0.261,4.02,0.442,2012
한화 이글스,133,53,77,3,0.249,4.55,0.408,2012
삼성 라이온즈,128,75,51,2,0.283,3.98,0.595,2013
두산 베어스,128,71,54,3,0.289,4.57,0.568,2013
LG 트윈스,128,74,54,0,0.282,3.72,0.578,2013
넥센 히어로즈,128,72,54,2,0.272,4.12,0.571,2013
롯데 자이언츠,128,66,58,4,0.261,3.93,0.532,2013
SK 와이번스,128,62,63,3,0.265,4.16,0.496,2013
NC 다이노스,128,52,72,4,0.244,3.96,0.419,2013
KIA 타이거즈,128,51,74,3,0.261,5.12,0.408,2013
한화 이글스,128,42,85,1,0.259,5.31,0.331,2013
삼성 라이온즈,128,78,47,3,0.301,4.52,0.624,2014
넥센 히어로즈,128,78,48,2,0.298,5.25,0.619,2014
NC 다이노스,128,70,57,1,0.282,4.29,0.551,2014
