,Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA.1,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
0,1.0,류현진,한화,1.82,25.0,16.0,4.0,0.0,0.0,0.8,192 2/3,149.0,11.0,45.0,9.0,187.0,42.0,39.0,1.01,1.82,5.0,3.0,23.0,0.0,756.0,2834.0,0.22,25.0,0.0,21.0,4.0,2.0,6.0,1.0,2010
1,2.0,김광현,SK,2.37,31.0,17.0,7.0,0.0,0.0,0.708,193 2/3,153.0,13.0,84.0,5.0,183.0,56.0,51.0,1.22,2.37,2.0,1.0,20.0,0.0,797.0,3129.0,0.221,22.0,1.0,14.0,1.0,1.0,13.0,0.0,2010
2,3.0,카도쿠라,SK,3.22,30.0,14.0,7.0,0.0,0.0,0.667,153 2/3,146.0,14.0,52.0,6.0,143.0,65.0,55.0,1.29,3.22,0.0,0.0,15.0,0.0,647.0,2510.0,0.255,16.0,1.0,14.0,2.0,2.0,11.0,0.0,2010
3,4.0,히메네스,두산,3.32,27.0,14.0,5.0,0.0,0.0,0.737,152,139.0,7.0,62.0,9.0,87.0,65.0,56.0,1.32,3.32,1.0,0.0,15.0,1.0,654.0,2512.0,0.247,17.0,3.0,15.0,6.0,0.0,5.0,0.0,2010
4,5.0,서재응,KIA,3.34,24.0,9.0,7.0,0.0,0.0,0.563,140,134.0,10.0,29.0,11.0,68.0,53.0,52.0,1.16,3.34,0.0,0.0,13.0,1.0,572.0,2131.0,0.256,29.0,2.0,9.0,0.0,1.0,1.0,0.0,2010
5,6.0,장원삼,삼성,3.46,29.0,13.0,5.0,0.0,0.0,0.722,151,139.0,13.0,44.0,5.0,115.0,62.0,58.0,1.21,3.46,0.0,0.0,12.0,0.0,631.0,2441.0,0.244,24.0,2.0,10.0,3.0,1.0,3.0,0.0,2010
6,7.0,봉중근,LG,3.58,28.0,10.0,9.0,0.0,0.0,0.526,178 1/3,166.0,13.0,69.0,14.0,130.0,74.0,71.0,1.32,3.58,0.0,0.0,18.0,0.0,752.0,2965.0,0.257,26.0,2.0,19.0,5.0,2.0,11.0,1.0,2010
7,8.0,사도스키,롯데,3.87,27.0,10.0,8.0,0.0,0.0,0.556,169 2/3,153.0,17.0,54.0,8.0,120.0,83.0,73.0,1.22,3.87,0.0,0.0,16.0,0.0,713.0,2741.0,0.24100000000000002,26.0,1.0,13.0,4.0,0.0,11.0,1.0,2010
8,9.0,김선우,두산,4.02,28.0,13.0,6.0,0.0,0.0,0.684,154 2/3,163.0,12.0,50.0,8.0,128.0,77.0,69.0,1.38,4.02,1.0,0.0,16.0,0.0,662.0,2585.0,0.27699999999999997,21.0,2.0,12.0,3.0,1.0,9.0,0.0,2010
9,10.0,양현종,KIA,4.25,30.0,16.0,8.0,0.0,0.0,0.667,169 1/3,169.0,9.0,98.0,6.0,145.0,84.0,80.0,1.58,4.25,1.0,1.0,14.0,0.0,748.0,3072.0,0.272,29.0,1.0,17.0,6.0,0.0,3.0,0.0,2010
10,11.0,송승준,롯데,4.39,27.0,14.0,6.0,0.0,0.0,0.7,168,156.0,20.0,60.0,9.0,113.0,90.0,82.0,1.29,4.39,1.0,0.0,14.0,0.0,709.0,2715.0,0.251,24.0,2.0,13.0,4.0,4.0,10.0,0.0,2010
11,12.0,장원준,롯데,4.43,26.0,12.0,6.0,0.0,0.0,0.667,144 1/3,158.0,24.0,48.0,8.0,113.0,77.0,71.0,1.43,4.43,3.0,2.0,12.0,0.0,623.0,2384.0,0.28300000000000003,19.0,1.0,7.0,2.0,2.0,3.0,1.0,2010
12,13.0,로페즈,KIA,4.66,27.0,4.0,10.0,1.0,0.0,0.28600000000000003,166,180.0,22.0,43.0,8.0,83.0,92.0,86.0,1.34,4.66,1.0,0.0,12.0,0.0,713.0,2600.0,0.282,35.0,3.0,18.0,5.0,2.0,2.0,1.0,2010
13,14.0,번사이드,키움,5.34,29.0,10.0,10.0,0.0,0.0,0.5,140,150.0,16.0,82.0,18.0,98.0,91.0,83.0,1.66,5.34,0.0,0.0,8.0,0.0,655.0,2608.0,0.27899999999999997,24.0,2.0,9.0,8.0,0.0,8.0,1.0,2010
14,15.0,유원상,한화,5.5,29.0,5.0,14.0,0.0,0.0,0.263,142 1/3,164.0,20.0,69.0,2.0,82.0,89.0,87.0,1.64,5.5,1.0,1.0,6.0,0.0,644.0,2466.0,0.29600000000000004,36.0,0.0,14.0,5.0,1.0,10.0,0.0,2010
15,1.0,윤석민,KIA,2.45,27.0,17.0,5.0,1.0,0.0,0.773,172 1/3,137.0,10.0,44.0,6.0,178.0,53.0,47.0,1.05,2.45,3.0,3.0,18.0,0.0,679.0,2685.0,0.223,20.0,2.0,12.0,2.0,0.0,2.0,1.0,2011
16,2.0,니퍼트,두산,2.55,29.0,15.0,6.0,0.0,0.0,0.7140000000000001,187,150.0,8.0,64.0,10.0,150.0,61.0,53.0,1.14,2.55,2.0,1.0,19.0,0.0,763.0,3118.0,0.225,26.0,1.0,18.0,3.0,0.0,10.0,0.0,2011
17,3.0,김선우,두산,3.13,28.0,16.0,7.0,1.0,0.0,0.696,175 2/3,188.0,12.0,35.0,6.0,89.0,68.0,61.0,1.27,3.13,2.0,1.0,18.0,0.0,732.0,2702.0,0.281,28.0,4.0,14.0,7.0,1.0,4.0,0.0,2011
18,4.0,장원준,롯데,3.14,29.0,15.0,6.0,0.0,0.0,0.7140000000000001,180 2/3,195.0,7.0,62.0,9.0,129.0,72.0,63.0,1.42,3.14,0.0,0.0,17.0,0.0,774.0,2999.0,0.28300000000000003,33.0,1.0,13.0,0.0,2.0,3.0,0.0,2011
19,5.0,윤성환,삼성,3.54,24.0,14.0,5.0,0.0,0.0,0.737,137 1/3,151.0,8.0,30.0,3.0,83.0,62.0,54.0,1.32,3.54,0.0,0.0,11.0,0.0,584.0,2196.0,0.282,24.0,3.0,12.0,3.0,0.0,4.0,0.0,2011
20,6.0,주키치,LG,3.6,32.0,10.0,8.0,1.0,0.0,0.556,187 2/3,174.0,9.0,53.0,1.0,150.0,86.0,75.0,1.21,3.6,1.0,1.0,14.0,0.0,773.0,2897.0,0.25,37.0,2.0,19.0,5.0,2.0,7.0,3.0,2011
21,7.0,차우찬,삼성,3.69,24.0,10.0,6.0,0.0,0.0,0.625,148 2/3,156.0,22.0,62.0,3.0,114.0,75.0,61.0,1.47,3.69,0.0,0.0,12.0,0.0,650.0,2481.0,0.273,21.0,1.0,11.0,2.0,0.0,2.0,2.0,2011
22,8.0,리즈,LG,3.88,30.0,11.0,13.0,0.0,0.0,0.45799999999999996,164 2/3,149.0,11.0,84.0,15.0,122.0,79.0,71.0,1.41,3.88,1.0,0.0,16.0,0.0,719.0,2806.0,0.248,32.0,5.0,16.0,4.0,0.0,8.0,1.0,2011
