,Team,wOBA,Year
0,롯데,0.34600000000000003,2010
1,두산,0.342,2010
2,LG,0.32799999999999996,2010
3,SK,0.326,2010
4,삼성,0.33399999999999996,2010
5,키움,0.309,2010
6,KIA,0.315,2010
7,한화,0.299,2010
0,롯데,0.336,2011
1,두산,0.32,2011
2,KIA,0.327,2011
3,LG,0.312,2011
4,SK,0.314,2011
5,삼성,0.311,2011
6,한화,0.304,2011
7,키움,0.295,2011
0,삼성,0.344,2012
1,SK,0.332,2012
2,두산,0.313,2012
3,롯데,0.319,2012
4,KIA,0.325,2012
5,키움,0.32299999999999995,2012
6,LG,0.32,2012
7,한화,0.325,2012
0,삼성,0.354,2013
1,LG,0.342,2013
2,키움,0.353,2013
3,두산,0.361,2013
4,롯데,0.327,2013
5,SK,0.342,2013
6,NC,0.315,2013
7,KIA,0.335,2013
8,한화,0.32299999999999995,2013
0,삼성,0.37200000000000005,2014
1,키움,0.386,2014
2,NC,0.35,2014
3,LG,0.341,2014
4,SK,0.35100000000000003,2014
5,두산,0.353,2014
6,롯데,0.35600000000000004,2014
7,KIA,0.349,2014
8,한화,0.345,2014
0,삼성,0.37,2015
1,NC,0.359,2015
2,두산,0.355,2015
3,키움,0.371,2015
4,SK,0.337,2015
5,한화,0.341,2015
6,KIA,0.317,2015
7,롯데,0.35100000000000003,2015
8,LG,0.327,2015
9,kt,0.332,2015
0,두산,0.373,2016
1,NC,0.365,2016
2,키움,0.358,2016
3,LG,0.348,2016
4,KIA,0.35600000000000004,2016
5,SK,0.355,2016
6,한화,0.35100000000000003,2016
7,롯데,0.354,2016
8,삼성,0.35700000000000004,2016
9,kt,0.331,2016
0,KIA,0.36,2017
1,두산,0.35700000000000004,2017
2,롯데,0.342,2017
3,NC,0.35100000000000003,2017
4,SK,0.342,2017
5,LG,0.32799999999999996,2017
6,키움,0.344,2017
7,한화,0.34,2017
8,삼성,0.33,2017
9,kt,0.322,2017
0,두산,0.34,2018
1,SK,0.326,2018
2,Hero,0.348,2018
3,LG,0.32299999999999995,2018
4,NC,0.34299999999999997,2018
5,KT,0.332,2018
6,KIA,0.32299999999999995,2018
7,삼성,0.325,2018
8,한화,0.313,2018
9,롯데,0.308,2018
0,두산,0.34,2019
1,SK,0.326,2019
2,키움,0.348,2019
3,LG,0.32299999999999995,2019
4,NC,0.34299999999999997,2019
5,KT,0.332,2019
6,KIA,0.32299999999999995,2019
7,삼성,0.325,2019
8,한화,0.313,2019
9,롯데,0.308,2019
