Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Manny Delcarmen\delcama01,2011-06-01,Texas Rangers,COL,29,1.9,6,27,1,0,0,0,0,0,0,.000,.000,.000,.000,11,8,3.97,1.377,298,0,3,292.2,268,24,135,249
2,Geno Espineli\espinge01,2011-05-05,San Francisco Giants,SFG,28,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,
3,Alex Cintron\cintral01,2011-05-03,San Diego Padres,NYM,32,-1.8,9,,,,,,,,,,,,,,,,,,,,,,,,
4,Luis Figueroa\figuelu01,2011-04-23,Milwaukee Brewers,LAA,37,,9,,,,,,,,,,,,,,,,,,,,,,,,
5,Tug Hulett\hulettu01,2011-04-23,Washington Nationals,SEA,28,-0.7,2,,,,,,,,,,,,,,,,,,,,,,,,
6,Joe Bisenius\bisenjo01,2011-04-18,Chicago White Sox,WSN,28,-0.2,2,7,0,0,0,0,0,0,0,,,,,0,0,6.75,2.400,7,0,0,6.2,8,1,8,8
7,Blaine Boyer\boyerbl01,2011-04-18,Pittsburgh Pirates,ARI,29,-2.0,6,217,8,0,0,0,0,0,0,.000,.000,.000,.000,9,12,4.63,1.438,228,0,1,227.1,234,15,93,161
8,Brian Lawrence\lawrebr02,2011-04-15,Los Angeles Angels of Anaheim,FLA,35,,9,,,,,,,,,,,,,,,,,,,,,,,,
9,Doug Davis\davisdo02,2011-04-12,Chicago Cubs,MIL,35,2.8,12,211,402,12,34,0,13,0,4,.085,.096,.104,.200,91,101,4.38,1.504,297,277,0,1670.0,1754,178,757,1243
10,Manny Corpas\corpama01,2011-04-08,Texas Rangers,COL,28,0.7,5,267,6,0,0,0,0,0,2,.000,.250,.000,.250,12,16,3.93,1.336,280,0,34,286.0,302,26,80,206
11,Ron Mahay\mahayro01,2011-04-08,Arizona Diamondbacks,MIN,40,2.1,15,107,28,3,6,1,3,0,1,.214,.267,.429,.695,27,12,3.83,1.417,514,3,4,568.0,539,75,266,470
12,Dewayne Wise\wisede01,2011-04-06,Toronto Blue Jays,TOR,33,0.9,8,376,722,102,160,20,75,29,30,.222,.260,.382,.642,,,,,,,,,,,,
13,Doug Mathis\mathido01,2011-04-05,San Francisco Giants,TEX,28,0.3,3,2,0,0,0,0,0,0,0,,,,,3,3,4.84,1.615,45,6,1,87.1,106,14,35,44
14,Dan Meyer\meyerda02,2011-04-05,Pittsburgh Pirates,FLA,29,-0.3,5,82,2,0,0,0,0,0,0,.000,.000,.000,.000,3,9,5.46,1.548,103,7,2,113.2,119,16,57,92
15,Ryan Rowland-Smith\rowlary01,2011-04-04,Houston Astros,SEA,28,0.4,4,6,4,0,0,0,0,0,0,.000,.000,.000,.000,12,17,4.57,1.420,115,47,2,362.2,381,51,134,220
16,Jeff Suppan\suppaje01,2011-04-04,Kansas City Royals,STL,36,-2.1,16,254,430,27,75,1,24,1,23,.174,.221,.198,.419,138,143,4.69,1.460,442,411,0,2512.0,2809,333,858,1383
17,Joe Koshansky\koshajo01,2011-04-01,San Francisco Giants,MIL,29,0.1,3,,,,,,,,,,,,,,,,,,,,,,,,
18,Tim Wood\woodti01,2011-04-01,Pittsburgh Pirates,FLA,28,0.1,2,41,2,0,1,0,0,0,0,.500,.500,.500,1.000,1,1,4.32,1.600,44,0,1,50.0,55,4,25,26
19,Horacio Ramirez\ramirho01,2011-03-29,Los Angeles Angels of Anaheim,SFG,31,0.3,7,88,179,9,27,0,5,0,2,.151,.160,.179,.339,39,35,4.64,1.478,157,105,0,679.1,742,82,262,314
20,Josh Fields\fieldjo02,2011-03-28,Colorado Rockies,KCR,28,-1.4,5,217,713,95,167,34,107,3,69,.234,.303,.421,.724,,,,,,,,,,,,
21,Kevin Frandsen\frandke01,2011-03-28,Philadelphia Phillies,LAA,29,-0.4,5,228,568,65,138,7,53,6,36,.243,.302,.335,.636,,,,,,,,,,,,
22,Bronson Sardinha\sardibr01,2011-03-28,Colorado Rockies,COL,28,,3,,,,,,,,,,,,,,,,,,,,,,,,
23,Matt Treanor\treanma01,2011-03-28,Kansas City Royals,TEX,35,-0.6,7,360,973,85,221,13,97,2,99,.227,.311,.310,.621,,,,,,,,,,,,
