,Rk,Name,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Date
0,1,Jerry Blevins\blevije01,Atlanta Braves,NYM,35,2.5,12,284.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.5,29.0,13.0,3.52,1.2329999999999999,564.0,1.0,6.0,463.0,392.0,45.0,179.0,471.0,2019
1,2,Gio Gonzalez\gonzagi01,Milwaukee Brewers,MIL,33,9.0,11,203.0,385.0,15.0,36.0,3.0,17.0,0.0,8.0,0.094,0.12,0.135,0.255,127.0,97.0,3.69,1.3159999999999998,313.0,307.0,0.0,1814.0,1628.0,156.0,759.0,1748.0,2019
2,3,Cameron Maybin\maybica01,New York Yankees,SEA,32,4.8,12,1039.0,3464.0,498.0,881.0,60.0,315.0,174.0,328.0,0.254,0.322,0.368,0.69,,,,,,,,,,,,,2019
3,4,Logan Morrison\morrilo01,New York Yankees,MIN,31,3.6,9,959.0,3271.0,408.0,782.0,137.0,421.0,23.0,387.0,0.239,0.325,0.42700000000000005,0.752,,,,,,,,,,,,,2019
4,5,Jeremy Bleich\bleicje01,Boston Red Sox,OAK,32,-0.1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,54.0,6.0,2.0,0.0,0.0,0.1,2.0,0.0,0.0,1.0,2019
5,6,Dan Jennings\jennida01,Washington Nationals,MIL,32,3.0,7,184.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,1.25,16.0,18.0,2.96,1.4040000000000001,382.0,1.0,2.0,344.0,333.0,24.0,150.0,272.0,2019
6,7,Edwin Jackson\jacksed01,Oakland Athletics,OAK,35,0.8,16,240.0,294.0,24.0,49.0,2.0,13.0,1.0,14.0,0.16699999999999998,0.204,0.201,0.405,104.0,123.0,4.6,1.446,394.0,305.0,1.0,1892.1,1989.0,226.0,747.0,1456.0,2019
7,8,Jesmuel Valentin\valenje01,Baltimore Orioles,PHI,25,-0.8,1,46.0,79.0,8.0,14.0,1.0,6.0,0.0,8.0,0.177,0.258,0.304,0.562,0.0,0.0,27.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2019
8,9,Rob Refsnyder\refsnro01,Cincinnati Reds,TBR,28,-0.7,4,166.0,367.0,46.0,80.0,4.0,22.0,8.0,47.0,0.218,0.308,0.302,0.61,,,,,,,,,,,,,2019
9,10,Jorge De La Rosa\rosajo01,Colorado Rockies,CHC,38,0.9,15,381.0,379.0,22.0,48.0,0.0,27.0,0.0,7.0,0.127,0.14400000000000002,0.13699999999999998,0.282,104.0,87.0,4.58,1.444,430.0,241.0,1.0,1522.2,1510.0,178.0,688.0,1273.0,2019
10,11,Zach McAllister\mcallza01,Los Angeles Dodgers,LAD,31,1.8,8,19.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,29.0,35.0,4.09,1.3880000000000001,280.0,68.0,1.0,591.2,622.0,69.0,199.0,542.0,2019
11,12,Brett Nicholas\nichobr01,Chicago White Sox,SDP,30,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,,2019
