RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡å,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
1,"Anderson, T",CWS,SS,123,498,81,167,32,0,18,56,15,109,17,5,0.335,0.357,0.508,0.865,0,3,0,2,253,50,12,131,93,1.41,1765,518
2,"Yelich, C",MIL,RF,130,489,100,161,29,3,44,97,80,118,30,2,0.329,0.429,0.671,1.1,16,8,0,3,328,76,8,115,98,1.17,2284,580
3,"Marte, K",ARI,CF,144,569,97,187,36,9,32,92,53,86,10,2,0.329,0.389,0.592,0.981,2,4,0,2,337,77,7,154,144,1.07,2402,628
4,"LeMahieu, D",NYY,2B,145,602,109,197,33,2,26,102,46,90,5,2,0.327,0.375,0.518,0.893,0,2,1,4,312,61,14,184,136,1.35,2463,655
5,"Rendon, A",WSH,3B,146,545,117,174,44,3,34,126,80,86,5,1,0.319,0.412,0.598,1.01,8,12,0,9,326,81,13,116,178,0.65,2613,646
6,"McNeil, J",NYM,LF,133,510,83,162,38,1,23,75,35,75,5,6,0.318,0.384,0.531,0.916,2,21,0,1,271,62,5,134,140,0.96,2067,567
7,"Moncada, Y",CWS,3B,132,511,83,161,34,5,25,79,40,154,10,3,0.315,0.367,0.548,0.915,2,4,1,3,280,64,1,95,105,0.9,2219,559
8,"Arenado, N",COL,3B,155,588,102,185,31,2,41,118,62,93,3,2,0.315,0.379,0.583,0.962,11,4,0,8,343,74,14,126,192,0.66,2391,662
9,"Blackmon, C",COL,RF,140,580,112,182,42,7,32,86,40,104,2,5,0.314,0.364,0.576,0.94,1,9,0,5,334,81,11,146,153,0.95,2362,634
10,"Reynolds, B",PIT,LF,134,491,83,154,37,4,16,68,46,121,3,2,0.314,0.377,0.503,0.88,0,6,0,3,247,57,9,126,93,1.35,2168,546
11,"Brantley, M",HOU,LF,148,575,88,179,40,2,22,90,51,66,3,2,0.311,0.372,0.503,0.875,3,7,0,4,289,64,21,180,154,1.17,2316,637
12,"Devers, R",BOS,3B,156,647,129,201,54,4,32,115,48,119,8,8,0.311,0.361,0.555,0.916,7,4,1,2,359,90,8,175,155,1.13,2636,702
13,"Cruz, N",MIN,DH,120,454,81,141,26,0,41,108,56,131,0,1,0.311,0.392,0.639,1.031,8,7,0,3,290,67,14,92,93,0.99,2114,521
14,"Bogaerts, X",BOS,SS,155,614,110,190,52,0,33,117,76,122,4,2,0.309,0.384,0.555,0.939,2,2,0,6,341,85,11,151,157,0.96,2862,698
15,"Newman, K",PIT,SS,130,493,61,152,20,6,12,64,28,62,16,8,0.308,0.353,0.446,0.8,2,7,2,1,220,38,5,160,122,1.31,1882,531
16,"Alberto, H",BAL,2B,139,524,62,160,21,2,12,51,16,50,4,4,0.305,0.329,0.422,0.751,1,4,3,3,221,35,9,167,153,1.09,1762,550
17,"Bellinger, C",LAD,RF,156,558,121,170,34,3,47,115,95,108,15,5,0.305,0.406,0.629,1.035,21,3,0,4,351,84,10,104,181,0.57,2688,661
18,"Martinez, J",BOS,LF,146,575,98,175,33,2,36,105,72,138,2,0,0.304,0.383,0.557,0.939,9,4,0,5,320,71,19,136,131,1.04,2463,657
19,"Merrifield, W",KC,2B,162,681,105,206,41,10,16,74,45,126,20,10,0.302,0.348,0.463,0.811,5,5,0,4,315,67,8,153,200,0.77,2773,735
20,"Altuve, J",HOU,2B,124,500,89,149,27,3,31,74,41,82,6,5,0.298,0.353,0.55,0.903,0,3,1,3,275,61,19,154,119,1.29,1994,548
21,"Gurriel, Y",HOU,1B,144,564,85,168,40,2,31,104,37,65,5,3,0.298,0.343,0.541,0.884,2,5,0,6,305,73,12,145,192,0.76,2085,612
22,"Turner, T",WSH,SS,122,521,96,155,37,5,19,57,43,113,35,5,0.298,0.353,0.497,0.85,2,3,0,2,259,61,10,130,125,1.04,2233,569
23,"Bregman, A",HOU,3B,156,554,122,164,37,2,41,112,119,83,5,1,0.296,0.423,0.592,1.015,2,9,0,8,328,80,9,110,205,0.54,2915,690
24,"Albies, O",ATL,2B,160,640,102,189,43,8,24,86,54,112,15,4,0.295,0.352,0.5,0.852,6,4,0,4,320,75,2,149,194,0.77,2494,702
25,"Marte, S",PIT,CF,132,539,97,159,31,6,23,82,25,94,25,6,0.295,0.342,0.503,0.845,1,16,2,4,271,60,15,170,122,1.39,2127,586
26,"Betts, M",BOS,RF,150,597,135,176,40,5,29,80,97,101,16,3,0.295,0.391,0.524,0.915,6,3,0,9,313,74,11,121,208,0.58,2909,706
26,"Freeman, F",ATL,1B,158,597,113,176,34,2,38,121,87,127,6,3,0.295,0.389,0.549,0.938,11,6,0,2,328,74,17,143,153,0.93,2750,692
28,"Polanco, J",MIN,SS,153,631,107,186,40,7,22,79,60,116,4,3,0.295,0.356,0.485,0.841,2,4,2,7,306,69,11,117,221,0.53,2771,704
29,"Story, T",COL,SS,145,588,111,173,38,5,35,85,58,174,23,8,0.294,0.363,0.554,0.917,0,7,0,3,326,78,3,96,148,0.65,2684,656
30,"Rizzo, A",CHC,1B,146,512,89,150,29,3,27,94,71,86,5,2,0.293,0.405,0.52,0.924,3,27,0,3,266,59,15,144,135,1.07,2470,613
31,"Springer, G",HOU,RF,122,479,96,140,20,3,39,96,67,113,6,2,0.292,0.383,0.591,0.974,1,6,0,4,283,62,12,123,107,1.15,2299,556
32,"Trout, M",LAA,CF,134,470,110,137,27,2,45,104,110,120,11,2,0.291,0.438,0.645,1.083,14,16,0,4,303,74,5,70,147,0.48,2509,600
33,"Mancini, T",BAL,RF,154,602,106,175,38,2,35,97,63,143,1,0,0.291,0.364,0.535,0.899,3,9,0,5,322,75,22,165,124,1.33,2722,679
34,"Meadows, A",TB,RF,138,530,83,154,29,7,33,89,54,131,12,7,0.291,0.364,0.558,0.922,6,7,0,0,296,69,3,100,145,0.69,2497,591
