,Team,Condition,Min,Predict,Max,Error,OX,Accuracy
0,ARI,792,713.0,860,871.0,68,True,0.9209302325581395
1,ATL,839,755.0,915,923.0,76,True,0.9169398907103825
2,BAL,728,655.0,755,801.0,27,True,0.9642384105960264
3,BOS,899,809.0,970,989.0,71,True,0.9268041237113402
4,CHC,802,722.0,866,882.0,64,True,0.9260969976905312
5,CIN,682,614.0,730,750.0,48,True,0.9342465753424658
6,CLE,769,692.0,819,846.0,50,True,0.938949938949939
7,COL,819,737.0,882,901.0,63,True,0.9285714285714286
8,CWS,708,637.0,729,779.0,21,True,0.9711934156378601
9,DET,580,522.0,608,638.0,28,True,0.9539473684210527
10,HOU,919,827.0,887,1011.0,32,True,0.9651795429815017
11,KC,691,622.0,730,760.0,39,True,0.9465753424657535
12,LAA,718,646.0,785,790.0,67,True,0.9146496815286624
13,LAD,869,782.0,1000,956.0,131,False,False
14,MIA,606,545.0,657,667.0,51,True,0.9223744292237442
15,MIL,757,681.0,789,833.0,32,True,0.9594423320659062
16,MIN,937,843.0,1032,1031.0,95,False,False
17,NYM,770,693.0,809,847.0,39,True,0.9517923362175525
18,NYY,942,848.0,954,1036.0,12,True,0.9874213836477987
19,OAK,844,760.0,907,928.0,63,True,0.9305402425578831
20,PHI,758,682.0,817,834.0,59,True,0.9277845777233782
21,PIT,738,664.0,806,812.0,68,True,0.9156327543424317
22,SD,672,605.0,742,739.0,70,False,False
23,SEA,757,681.0,775,833.0,18,True,0.9767741935483871
24,SF,670,603.0,747,737.0,77,False,False
25,STL,748,673.0,854,823.0,106,False,False
26,TB,767,690.0,766,844.0,1,True,0.9986962190352021
27,TEX,810,729.0,896,891.0,86,False,False
28,TOR,724,652.0,763,796.0,39,True,0.9488859764089121
29,WAS,853,768.0,993,938.0,140,False,False
