Year,Team,R
2010,ARI,688
2010,ATL,700
2010,BAL,613
2010,BOS,817
2010,CHC,671
2010,CIN,770
2010,CLE,646
2010,COL,747
2010,CWS,752
2010,DET,751
2010,FLA,710
2010,HOU,600
2010,KC,661
2010,LAA,677
2010,LAD,636
2010,MIL,720
2010,MIN,781
2010,NYM,640
2010,NYY,859
2010,OAK,663
2010,PHI,749
2010,PIT,577
2010,SD,643
2010,SEA,489
2010,SF,684
2010,STL,717
2010,TB,787
2010,TEX,784
2010,TOR,754
2010,WAS,649
2011,ARI,712
2011,ATL,600
2011,BAL,705
2011,BOS,875
2011,CHC,639
2011,CIN,711
2011,CLE,703
2011,COL,720
2011,CWS,654
2011,DET,787
2011,FLA,608
2011,HOU,586
2011,KC,730
2011,LAA,666
2011,LAD,625
2011,MIL,696
2011,MIN,619
2011,NYM,708
2011,NYY,867
2011,OAK,645
2011,PHI,694
2011,PIT,570
2011,SD,570
2011,SEA,555
2011,SF,551
2011,STL,745
2011,TB,700
2011,TEX,854
2011,TOR,738
2011,WAS,561
2012,ARI,717
2012,ATL,680
2012,BAL,712
2012,BOS,733
2012,CHC,605
2012,CIN,643
2012,CLE,667
2012,COL,741
2012,CWS,739
2012,DET,725
2012,HOU,528
2012,KC,676
2012,LAA,764
2012,LAD,629
2012,MIA,595
2012,MIL,763
2012,MIN,700
2012,NYM,630
2012,NYY,804
2012,OAK,712
2012,PHI,668
2012,PIT,633
2012,SD,632
2012,SEA,617
2012,SF,698
2012,STL,740
2012,TB,696
2012,TEX,807
2012,TOR,689
2012,WAS,698
2013,ARI,670
2013,ATL,643
2013,BAL,745
2013,BOS,851
2013,CHC,580
2013,CIN,653
2013,CLE,744
2013,COL,695
2013,CWS,597
2013,DET,796
2013,HOU,603
2013,KC,646
2013,LAA,732
2013,LAD,627
2013,MIA,499
2013,MIL,631
2013,MIN,614
2013,NYM,601
2013,NYY,650
2013,OAK,765
2013,PHI,593
2013,PIT,622
2013,SD,604
2013,SEA,622
2013,SF,618
2013,STL,763
2013,TB,699
2013,TEX,729
2013,TOR,694
2013,WAS,645
2014,ARI,600
2014,ATL,548
2014,BAL,704
2014,BOS,634
2014,CHC,594
2014,CIN,575
2014,CLE,669
2014,COL,740
2014,CWS,660
2014,DET,756
2014,HOU,628
2014,KC,648
2014,LAA,772
2014,LAD,695
2014,MIA,637
2014,MIL,640
2014,MIN,698
2014,NYM,618
2014,NYY,633
2014,OAK,729
2014,PHI,607
2014,PIT,667
2014,SD,521
2014,SEA,588
2014,SF,645
2014,STL,598
2014,TB,612
2014,TEX,636
2014,TOR,682
2014,WAS,671
2015,ARI,710
2015,ATL,569
2015,BAL,710
2015,BOS,748
2015,CHC,667
2015,CIN,623
2015,CLE,669
2015,COL,717
2015,CWS,621
2015,DET,615
2015,HOU,727
2015,KC,723
2015,LAA,661
2015,LAD,650
2015,MIA,603
2015,MIL,647
2015,MIN,687
2015,NYM,667
2015,NYY,763
2015,OAK,693
2015,PHI,609
2015,PIT,684
2015,SD,630
2015,SEA,655
2015,SF,673
2015,STL,631
2015,TB,643
2015,TEX,748
2015,TOR,891
2015,WAS,688
2016,ARI,729
2016,ATL,642
2016,BAL,743
2016,BOS,878
2016,CHC,787
2016,CIN,705
2016,CLE,774
2016,COL,829
2016,CWS,684
2016,DET,738
2016,HOU,723
2016,KC,663
2016,LAA,716
2016,LAD,710
2016,MIA,644
2016,MIL,657
2016,MIN,721
2016,NYM,650
2016,NYY,680
2016,OAK,643
2016,PHI,594
2016,PIT,718
2016,SD,671
2016,SEA,767
2016,SF,695
2016,STL,760
2016,TB,671
2016,TEX,764
2016,TOR,756
2016,WAS,749
2017,ARI,787
2017,ATL,721
2017,BAL,743
2017,BOS,785
2017,CHC,802
2017,CIN,743
2017,CLE,817
2017,COL,804
2017,CWS,706
2017,DET,735
2017,HOU,894
2017,KC,702
2017,LAA,710
2017,LAD,750
2017,MIA,769
2017,MIL,720
2017,MIN,812
2017,NYM,717
2017,NYY,857
2017,OAK,737
2017,PHI,674
2017,PIT,657
2017,SD,591
2017,SEA,748
2017,SF,619
2017,STL,740
2017,TB,693
2017,TEX,798
2017,TOR,691
2017,WAS,802
2018,ARI,680
2018,ATL,746
2018,BAL,619
2018,BOS,872
2018,CHC,748
2018,CIN,682
2018,CLE,817
2018,COL,759
2018,CWS,656
2018,DET,630
2018,HOU,797
2018,KC,637
2018,LAA,661
2018,LAD,794
2018,MIA,580
2018,MIL,736
2018,MIN,736
2018,NYM,664
2018,NYY,849
2018,OAK,812
2018,PHI,666
2018,PIT,681
2018,SD,605
2018,SEA,677
2018,SF,597
2018,STL,741
2018,TB,715
2018,TEX,737
2018,TOR,707
2018,WAS,751
2019,ARI,792
2019,ATL,839
2019,BAL,728
2019,BOS,899
2019,CHC,802
2019,CIN,682
2019,CLE,769
2019,COL,819
2019,CWS,708
2019,DET,580
2019,HOU,919
2019,KC,691
2019,LAA,718
2019,LAD,869
2019,MIA,606
2019,MIL,757
2019,MIN,937
2019,NYM,770
2019,NYY,942
2019,OAK,844
2019,PHI,758
2019,PIT,738
2019,SD,672
2019,SEA,757
2019,SF,670
2019,STL,748
2019,TB,767
2019,TEX,810
2019,TOR,724
2019,WAS,853
