RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡å,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
1,"?Rendon, A",WSH,3B,4,12,2,5,1,0,0,2,4,3,0,0,0.417,0.529,0.5,1.029,2,0,0,1,6,1,0,1,4,0.25,58,17
2,"?Altuve, J",HOU,2B,6,23,6,8,1,0,2,3,4,1,1,0,0.348,0.444,0.652,1.097,0,0,0,0,15,3,0,7,7,1,98,27
3,"?LeMahieu, D",NYY,2B,6,26,6,9,1,0,2,3,3,2,0,0,0.346,0.414,0.615,1.029,0,0,0,0,16,3,0,6,9,0.67,96,29
4,"?Kendrick, H",WSH,3B,4,15,4,5,4,0,0,4,2,4,0,0,0.333,0.412,0.6,1.012,2,0,0,0,9,4,1,5,1,5,61,17
5,"?Brantley, M",HOU,LF,6,23,1,7,0,0,0,1,4,4,0,0,0.304,0.407,0.304,0.712,0,0,0,0,7,0,1,7,5,1.4,123,27
6,"?Turner, T",WSH,SS,4,17,2,5,0,0,0,2,1,4,0,0,0.294,0.333,0.294,0.627,0,0,0,0,5,0,0,4,4,1,60,18
7,"?Torres, G",NYY,SS,6,25,3,7,2,0,2,6,2,4,0,0,0.28,0.333,0.6,0.933,0,0,0,0,15,4,0,3,11,0.27,111,27
8,"?DeJong, P",STL,SS,4,12,1,3,0,0,0,0,1,6,0,0,0.25,0.308,0.25,0.558,0,0,0,0,3,0,0,1,2,0.5,52,13
8,"?Zimmerman, R",WSH,1B,4,16,1,4,2,0,0,2,1,3,0,0,0.25,0.294,0.375,0.669,0,0,0,0,6,2,0,5,4,1.25,63,17
10,"?Judge, A",NYY,RF,6,25,3,6,0,0,1,2,3,10,2,0,0.24,0.321,0.36,0.681,0,0,0,0,9,1,0,4,5,0.8,103,28
11,"?Urshela, G",NYY,3B,6,21,3,5,0,0,2,2,2,2,0,0,0.238,0.304,0.524,0.828,0,0,0,0,11,2,0,2,12,0.17,69,23
12,"?Eaton, A",WSH,RF,4,17,3,4,2,1,0,3,1,4,0,0,0.235,0.278,0.471,0.748,0,0,0,0,8,3,0,3,6,0.5,68,18
13,"?Gregorius, D",NYY,SS,6,23,2,5,1,0,0,0,0,3,0,0,0.217,0.217,0.261,0.478,0,0,0,0,6,1,0,4,11,0.36,70,23
14,"?Ozuna, M",STL,LF,4,16,0,3,1,0,0,0,0,8,0,0,0.188,0.188,0.25,0.438,0,0,0,0,4,1,0,0,5,0,60,16
14,"?Soto, J",WSH,LF,4,16,2,3,1,0,0,1,1,7,0,0,0.188,0.235,0.25,0.485,0,0,0,0,4,1,0,2,4,0.5,75,17
16,"?Correa, C",HOU,SS,6,22,2,4,1,0,2,5,3,9,1,0,0.182,0.28,0.5,0.78,0,0,0,0,11,3,0,4,5,0.8,105,25
17,"?Bregman, A",HOU,3B,6,18,4,3,1,0,0,1,7,2,0,0,0.167,0.423,0.222,0.645,1,1,0,0,4,1,1,8,5,1.6,105,26
17,"?Molina, Y",STL,C,4,12,1,2,0,0,1,1,0,1,0,0,0.167,0.286,0.417,0.702,0,2,0,0,5,1,1,3,6,0.5,44,14
19,"?Springer, G",HOU,RF,6,25,4,4,0,0,2,4,4,10,0,0,0.16,0.276,0.4,0.676,0,0,0,0,10,2,1,8,3,2.67,126,29
20,"?Wong, K",STL,2B,4,14,1,2,0,0,0,0,2,0,2,0,0.143,0.25,0.143,0.393,0,0,0,0,2,0,0,7,5,1.4,50,16
21,"?Gardner, B",NYY,CF,6,22,1,3,0,0,0,1,2,10,0,0,0.136,0.208,0.136,0.345,0,0,0,0,3,0,0,5,4,1.25,102,24
22,"?Sanchez, G",NYY,C,6,23,1,3,0,0,1,3,1,12,0,0,0.13,0.167,0.261,0.428,0,0,0,0,6,1,1,4,4,1,111,24
23,"?Gurriel, Y",HOU,1B,6,24,1,3,0,0,1,4,1,0,0,0,0.125,0.154,0.25,0.404,0,0,0,1,6,1,0,6,16,0.38,89,26
24,"?Goldschmidt, P",STL,1B,4,16,0,1,0,0,0,0,0,9,0,0,0.063,0.063,0.063,0.125,0,0,0,0,1,0,0,1,5,0.2,73,16
25,"?Encarnacion, E",NYY,1B,5,18,0,1,1,0,0,0,4,11,0,0,0.056,0.227,0.111,0.338,0,0,0,0,2,1,0,3,3,1,106,22
26,"?Alvarez, Y",HOU,OF,6,22,1,1,0,0,0,0,2,12,0,0,0.045,0.125,0.045,0.17,0,0,0,0,1,0,0,3,6,0.5,103,24
27,"?Edman, T",STL,SS,4,14,0,0,0,0,0,1,1,5,0,0,0,0.067,0,0.067,0,0,0,0,0,0,0,1,8,0.13,65,15
27,"?Fowler, D",STL,RF,4,11,1,0,0,0,0,0,2,6,0,0,0,0.154,0,0.154,0,0,0,0,0,0,0,2,3,0.67,54,13
