,Year,Team,R
0,2010,ARI,688
1,2010,ATL,700
2,2010,BAL,613
3,2010,BOS,817
4,2010,CHC,671
5,2010,CIN,770
6,2010,CLE,646
7,2010,COL,747
8,2010,CWS,752
9,2010,DET,751
10,2010,FLA,710
11,2010,HOU,600
12,2010,KC,661
13,2010,LAA,677
14,2010,LAD,636
15,2010,MIL,720
16,2010,MIN,781
17,2010,NYM,640
18,2010,NYY,859
19,2010,OAK,663
20,2010,PHI,749
21,2010,PIT,577
22,2010,SD,643
23,2010,SEA,489
24,2010,SF,684
25,2010,STL,717
26,2010,TB,787
27,2010,TEX,784
28,2010,TOR,754
29,2010,WAS,649
30,2011,ARI,712
31,2011,ATL,600
32,2011,BAL,705
33,2011,BOS,875
34,2011,CHC,639
35,2011,CIN,711
36,2011,CLE,703
37,2011,COL,720
38,2011,CWS,654
39,2011,DET,787
40,2011,FLA,608
41,2011,HOU,586
42,2011,KC,730
43,2011,LAA,666
44,2011,LAD,625
45,2011,MIL,696
46,2011,MIN,619
47,2011,NYM,708
48,2011,NYY,867
49,2011,OAK,645
50,2011,PHI,694
51,2011,PIT,570
52,2011,SD,570
53,2011,SEA,555
54,2011,SF,551
55,2011,STL,745
56,2011,TB,700
57,2011,TEX,854
58,2011,TOR,738
59,2011,WAS,561
60,2012,ARI,717
61,2012,ATL,680
62,2012,BAL,712
63,2012,BOS,733
64,2012,CHC,605
65,2012,CIN,643
66,2012,CLE,667
67,2012,COL,741
68,2012,CWS,739
69,2012,DET,725
70,2012,HOU,528
71,2012,KC,676
72,2012,LAA,764
73,2012,LAD,629
74,2012,MIA,595
75,2012,MIL,763
76,2012,MIN,700
77,2012,NYM,630
78,2012,NYY,804
79,2012,OAK,712
80,2012,PHI,668
81,2012,PIT,633
82,2012,SD,632
83,2012,SEA,617
84,2012,SF,698
85,2012,STL,740
86,2012,TB,696
87,2012,TEX,807
88,2012,TOR,689
89,2012,WAS,698
90,2013,ARI,670
91,2013,ATL,643
92,2013,BAL,745
93,2013,BOS,851
94,2013,CHC,580
95,2013,CIN,653
96,2013,CLE,744
97,2013,COL,695
98,2013,CWS,597
99,2013,DET,796
100,2013,HOU,603
101,2013,KC,646
102,2013,LAA,732
103,2013,LAD,627
104,2013,MIA,499
105,2013,MIL,631
106,2013,MIN,614
107,2013,NYM,601
108,2013,NYY,650
109,2013,OAK,765
110,2013,PHI,593
111,2013,PIT,622
112,2013,SD,604
113,2013,SEA,622
114,2013,SF,618
115,2013,STL,763
116,2013,TB,699
117,2013,TEX,729
118,2013,TOR,694
119,2013,WAS,645
120,2014,ARI,600
121,2014,ATL,548
122,2014,BAL,704
123,2014,BOS,634
