Year,Team,w
2010,ARZ,0.325
2010,ATL,0.327
2010,BAL,0.31
2010,BOS,0.345
2010,CHC,0.318
2010,CHW,0.332
2010,CIN,0.34
2010,CLE,0.311
2010,COL,0.333
2010,DET,0.33
2010,HOU,0.295
2010,KC,0.32299999999999995
2010,LAA,0.31
2010,LAD,0.309
2010,MIA,0.318
2010,MIL,0.334
2010,MIN,0.335
2010,NYM,0.307
2010,NYY,0.34600000000000003
2010,OAK,0.313
2010,PHI,0.327
2010,PIT,0.3
2010,SD,0.304
2010,SEA,0.285
2010,SF,0.32
2010,STL,0.322
2010,TB,0.326
2010,TEX,0.333
2010,TOR,0.334
2010,WAS,0.313
2011,ARZ,0.322
2011,ATL,0.306
2011,BAL,0.32
2011,BOS,0.35200000000000004
2011,CHC,0.314
2011,CHW,0.312
2011,CIN,0.322
2011,CLE,0.314
2011,COL,0.324
2011,DET,0.337
2011,HOU,0.301
2011,KC,0.325
2011,LAA,0.313
2011,LAD,0.307
2011,MIA,0.311
2011,MIL,0.327
2011,MIN,0.29600000000000004
2011,NYM,0.319
2011,NYY,0.345
2011,OAK,0.301
2011,PHI,0.315
2011,PIT,0.299
2011,SD,0.29
2011,SEA,0.28300000000000003
2011,SF,0.295
2011,STL,0.334
2011,TB,0.319
2011,TEX,0.34700000000000003
2011,TOR,0.319
2011,WAS,0.305
2012,ARZ,0.32299999999999995
2012,ATL,0.31
2012,BAL,0.317
2012,BOS,0.316
2012,CHC,0.297
2012,CHW,0.322
2012,CIN,0.314
2012,CLE,0.31
2012,COL,0.331
2012,DET,0.328
2012,HOU,0.29600000000000004
2012,KC,0.311
2012,LAA,0.331
2012,LAD,0.302
2012,MIA,0.3
2012,MIL,0.329
2012,MIN,0.313
2012,NYM,0.306
2012,NYY,0.342
2012,OAK,0.311
2012,PHI,0.311
2012,PIT,0.304
2012,SD,0.307
2012,SEA,0.29100000000000004
2012,SF,0.314
2012,STL,0.329
2012,TB,0.311
2012,TEX,0.336
2012,TOR,0.311
2012,WAS,0.324
2013,ARZ,0.314
2013,ATL,0.318
2013,BAL,0.32299999999999995
2013,BOS,0.34700000000000003
2013,CHC,0.304
2013,CHW,0.299
2013,CIN,0.316
2013,CLE,0.324
2013,COL,0.324
2013,DET,0.341
2013,HOU,0.298
2013,KC,0.305
2013,LAA,0.325
2013,LAD,0.317
2013,MIA,0.279
2013,MIL,0.311
2013,MIN,0.307
2013,NYM,0.297
2013,NYY,0.301
2013,OAK,0.327
2013,PHI,0.303
2013,PIT,0.312
2013,SD,0.302
2013,SEA,0.307
2013,SF,0.309
2013,STL,0.322
2013,TB,0.324
2013,TEX,0.32299999999999995
2013,TOR,0.32
2013,WAS,0.311
2014,ARZ,0.3
2014,ATL,0.29600000000000004
2014,BAL,0.32299999999999995
2014,BOS,0.305
2014,CHC,0.303
2014,CHW,0.312
2014,CIN,0.294
2014,CLE,0.313
2014,COL,0.337
2014,DET,0.331
2014,HOU,0.308
2014,KC,0.306
2014,LAA,0.321
2014,LAD,0.327
2014,MIA,0.307
2014,MIL,0.313
2014,MIN,0.316
2014,NYM,0.299
2014,NYY,0.305
2014,OAK,0.312
2014,PHI,0.295
2014,PIT,0.325
2014,SD,0.28300000000000003
2014,SEA,0.299
2014,SF,0.308
2014,STL,0.308
2014,TB,0.305
2014,TEX,0.305
2014,TOR,0.325
2014,WAS,0.317
2015,ARZ,0.319
2015,ATL,0.29600000000000004
2015,BAL,0.315
2015,BOS,0.321
2015,CHC,0.313
2015,CHW,0.3
2015,CIN,0.307
2015,CLE,0.315
2015,COL,0.321
2015,DET,0.324
2015,HOU,0.325
2015,KC,0.318
2015,LAA,0.305
2015,LAD,0.322
2015,MIA,0.302
2015,MIL,0.304
2015,MIN,0.305
2015,NYM,0.309
2015,NYY,0.32299999999999995
2015,OAK,0.308
2015,PHI,0.298
2015,PIT,0.313
2015,SD,0.298
2015,SEA,0.313
2015,SF,0.318
2015,STL,0.311
2015,TB,0.313
2015,TEX,0.321
2015,TOR,0.344
2015,WAS,0.315
2016,ARZ,0.321
2016,ATL,0.304
2016,BAL,0.326
2016,BOS,0.34600000000000003
2016,CHC,0.333
2016,CHW,0.314
2016,CIN,0.311
2016,CLE,0.326
2016,COL,0.339
2016,DET,0.33
2016,HOU,0.317
2016,KC,0.307
2016,LAA,0.314
2016,LAD,0.314
2016,MIA,0.309
2016,MIL,0.315
2016,MIN,0.317
2016,NYM,0.315
2016,NYY,0.311
2016,OAK,0.302
2016,PHI,0.29600000000000004
2016,PIT,0.318
2016,SD,0.297
2016,SEA,0.325
2016,SF,0.315
2016,STL,0.329
2016,TB,0.315
2016,TEX,0.324
2016,TOR,0.327
2016,WAS,0.322
2017,ARZ,0.329
2017,ATL,0.316
2017,BAL,0.318
2017,BOS,0.316
2017,CHC,0.331
2017,CHW,0.313
2017,CIN,0.325
2017,CLE,0.336
2017,COL,0.332
2017,DET,0.321
2017,HOU,0.349
2017,KC,0.312
2017,LAA,0.307
2017,LAD,0.33
2017,MIA,0.325
2017,MIL,0.321
2017,MIN,0.329
2017,NYM,0.322
2017,NYY,0.336
2017,OAK,0.32299999999999995
2017,PHI,0.31
2017,PIT,0.304
2017,SD,0.298
2017,SEA,0.321
2017,SF,0.29600000000000004
2017,STL,0.326
2017,TB,0.316
2017,TEX,0.321
2017,TOR,0.312
2017,WAS,0.331
2018,ARZ,0.306
2018,ATL,0.319
2018,BAL,0.299
2018,BOS,0.34
2018,CHC,0.321
2018,CHW,0.304
2018,CIN,0.317
2018,CLE,0.33
2018,COL,0.325
2018,DET,0.295
2018,HOU,0.327
2018,KC,0.303
2018,LAA,0.313
2018,LAD,0.333
2018,MIA,0.289
2018,MIL,0.322
2018,MIN,0.313
2018,NYM,0.305
2018,NYY,0.335
2018,OAK,0.329
2018,PHI,0.307
2018,PIT,0.312
2018,SD,0.294
2018,SEA,0.313
2018,SF,0.29
2018,STL,0.316
2018,TB,0.322
2018,TEX,0.315
2018,TOR,0.319
2018,WAS,0.325
2019,ARZ,0.319
2019,ATL,0.332
2019,BAL,0.308
2019,BOS,0.338
2019,CHC,0.33
2019,CHW,0.309
2019,CIN,0.312
2019,CLE,0.319
2019,COL,0.328
2019,DET,0.29
2019,HOU,0.355
2019,KC,0.302
2019,LAA,0.316
2019,LAD,0.338
2019,MIA,0.28800000000000003
2019,MIL,0.324
2019,MIN,0.34700000000000003
2019,NYM,0.325
2019,NYY,0.34600000000000003
2019,OAK,0.327
2019,PHI,0.314
2019,PIT,0.313
2019,SD,0.305
2019,SEA,0.314
2019,SF,0.295
2019,STL,0.314
2019,TB,0.321
2019,TEX,0.317
2019,TOR,0.31
2019,WAS,0.336
