,Team,wOBA,Year
0,CIN,0.34,2010
1,NYY,0.34600000000000003,2010
2,TB,0.326,2010
3,MIL,0.33399999999999996,2010
4,MIN,0.335,2010
5,SF,0.32,2010
6,STL,0.322,2010
7,BOS,0.345,2010
8,TOR,0.33399999999999996,2010
9,ATL,0.327,2010
10,SD,0.304,2010
11,DET,0.33,2010
12,PHI,0.327,2010
13,TEX,0.33299999999999996,2010
14,ARZ,0.325,2010
15,OAK,0.313,2010
16,WAS,0.313,2010
17,MIA,0.318,2010
18,CHW,0.332,2010
19,NYM,0.307,2010
20,LAA,0.31,2010
21,CHC,0.318,2010
22,COL,0.33299999999999996,2010
23,LAD,0.309,2010
24,CLE,0.311,2010
25,KC,0.32299999999999995,2010
26,BAL,0.31,2010
27,HOU,0.295,2010
28,SEA,0.285,2010
29,PIT,0.3,2010
0,NYY,0.345,2011
1,BOS,0.35200000000000004,2011
2,TEX,0.34700000000000003,2011
3,MIL,0.327,2011
4,ARZ,0.322,2011
5,STL,0.33399999999999996,2011
6,CIN,0.322,2011
7,TB,0.319,2011
8,LAA,0.313,2011
9,DET,0.337,2011
10,KC,0.325,2011
11,LAD,0.307,2011
12,PHI,0.315,2011
13,ATL,0.306,2011
14,SF,0.295,2011
15,NYM,0.319,2011
16,WAS,0.305,2011
17,TOR,0.319,2011
18,SD,0.29,2011
19,CHC,0.314,2011
20,MIA,0.311,2011
21,HOU,0.301,2011
22,BAL,0.32,2011
23,COL,0.324,2011
24,CHW,0.312,2011
25,CLE,0.314,2011
26,OAK,0.301,2011
27,PIT,0.299,2011
28,MIN,0.29600000000000004,2011
29,SEA,0.28300000000000003,2011
0,LAA,0.331,2012
1,NYY,0.342,2012
2,SF,0.314,2012
3,STL,0.32899999999999996,2012
4,MIL,0.32899999999999996,2012
5,ATL,0.31,2012
6,CIN,0.314,2012
7,TB,0.311,2012
8,WAS,0.324,2012
9,TEX,0.336,2012
10,ARZ,0.32299999999999995,2012
11,SD,0.307,2012
12,PHI,0.311,2012
13,CHW,0.322,2012
14,DET,0.32799999999999996,2012
15,BOS,0.316,2012
16,OAK,0.311,2012
17,NYM,0.306,2012
18,BAL,0.317,2012
19,TOR,0.311,2012
20,LAD,0.302,2012
21,KC,0.311,2012
22,MIN,0.313,2012
23,CHC,0.297,2012
24,MIA,0.3,2012
25,COL,0.331,2012
26,PIT,0.304,2012
27,SEA,0.29100000000000004,2012
28,CLE,0.31,2012
29,HOU,0.29600000000000004,2012
0,BOS,0.34700000000000003,2013
1,TB,0.324,2013
2,DET,0.341,2013
3,SF,0.309,2013
4,STL,0.322,2013
5,BAL,0.32299999999999995,2013
6,ATL,0.318,2013
7,LAD,0.317,2013
8,OAK,0.327,2013
9,PIT,0.312,2013
10,MIL,0.311,2013
11,CLE,0.324,2013
12,CIN,0.316,2013
13,LAA,0.325,2013
14,TEX,0.32299999999999995,2013
15,KC,0.305,2013
16,ARZ,0.314,2013
17,SD,0.302,2013
18,WAS,0.311,2013
19,TOR,0.32,2013
20,NYM,0.297,2013
21,NYY,0.301,2013
22,CHC,0.304,2013
23,COL,0.324,2013
24,MIN,0.307,2013
25,SEA,0.307,2013
26,PHI,0.303,2013
27,CHW,0.299,2013
28,MIA,0.27899999999999997,2013
29,HOU,0.298,2013
0,LAD,0.327,2014
1,PIT,0.325,2014
2,LAA,0.321,2014
3,BAL,0.32299999999999995,2014
4,WAS,0.317,2014
5,SF,0.308,2014
6,DET,0.331,2014
7,TOR,0.325,2014
8,OAK,0.312,2014
9,MIL,0.313,2014
10,TB,0.305,2014
11,KC,0.306,2014
12,NYY,0.305,2014
13,STL,0.308,2014
14,NYM,0.299,2014
15,BOS,0.305,2014
16,COL,0.337,2014
17,MIA,0.307,2014
18,SEA,0.299,2014
19,MIN,0.316,2014
20,CHC,0.303,2014
21,CIN,0.294,2014
22,CLE,0.313,2014
23,HOU,0.308,2014
24,CHW,0.312,2014
25,ARZ,0.3,2014
26,ATL,0.29600000000000004,2014
27,SD,0.28300000000000003,2014
28,TEX,0.305,2014
29,PHI,0.295,2014
0,TOR,0.344,2015
1,SF,0.318,2015
2,LAD,0.322,2015
3,HOU,0.325,2015
4,CHC,0.313,2015
5,NYM,0.309,2015
6,PIT,0.313,2015
7,STL,0.311,2015
8,KC,0.318,2015
9,TEX,0.321,2015
10,ARZ,0.319,2015
11,NYY,0.32299999999999995,2015
12,TB,0.313,2015
13,CLE,0.315,2015
14,BOS,0.321,2015
15,WAS,0.315,2015
16,BAL,0.315,2015
17,SEA,0.313,2015
18,DET,0.324,2015
19,LAA,0.305,2015
20,CIN,0.307,2015
21,SD,0.298,2015
22,MIA,0.302,2015
23,MIL,0.304,2015
24,MIN,0.305,2015
25,OAK,0.308,2015
26,ATL,0.29600000000000004,2015
27,COL,0.321,2015
28,PHI,0.298,2015
29,CHW,0.3,2015
0,CHC,0.33299999999999996,2016
1,BOS,0.34600000000000003,2016
2,SF,0.315,2016
3,LAD,0.314,2016
4,TOR,0.327,2016
5,CLE,0.326,2016
6,HOU,0.317,2016
7,NYM,0.315,2016
8,WAS,0.322,2016
9,STL,0.32899999999999996,2016
10,SEA,0.325,2016
11,MIA,0.309,2016
12,DET,0.33,2016
13,BAL,0.326,2016
14,LAA,0.314,2016
15,TB,0.315,2016
16,PIT,0.318,2016
17,COL,0.33899999999999997,2016
18,TEX,0.324,2016
19,ARZ,0.321,2016
20,NYY,0.311,2016
21,CHW,0.314,2016
22,MIL,0.315,2016
23,MIN,0.317,2016
24,CIN,0.311,2016
25,KC,0.307,2016
26,SD,0.297,2016
27,ATL,0.304,2016
28,PHI,0.29600000000000004,2016
29,OAK,0.302,2016
0,HOU,0.349,2017
1,LAD,0.33,2017
2,NYY,0.336,2017
3,MIA,0.325,2017
4,CHC,0.331,2017
5,CLE,0.336,2017
6,STL,0.326,2017
7,MIN,0.32899999999999996,2017
8,WAS,0.331,2017
9,NYM,0.322,2017
10,TB,0.316,2017
11,SEA,0.321,2017
12,ARZ,0.32899999999999996,2017
13,CIN,0.325,2017
14,LAA,0.307,2017
15,BOS,0.316,2017
16,OAK,0.32299999999999995,2017
17,MIL,0.321,2017
18,ATL,0.316,2017
19,DET,0.321,2017
20,CHW,0.313,2017
21,COL,0.332,2017
22,BAL,0.318,2017
23,KC,0.312,2017
24,TOR,0.312,2017
25,SF,0.29600000000000004,2017
26,PHI,0.31,2017
27,TEX,0.321,2017
28,PIT,0.304,2017
29,SD,0.298,2017
0,LAD,0.33299999999999996,2018
1,BOS,0.34,2018
2,NYY,0.335,2018
3,OAK,0.32899999999999996,2018
4,CLE,0.33,2018
5,MIL,0.322,2018
6,ATL,0.319,2018
7,HOU,0.327,2018
8,STL,0.316,2018
9,CHC,0.321,2018
10,LAA,0.313,2018
11,WAS,0.325,2018
12,TB,0.322,2018
13,ARZ,0.306,2018
14,SEA,0.313,2018
15,PIT,0.312,2018
16,CIN,0.317,2018
17,COL,0.325,2018
18,MIN,0.313,2018
19,NYM,0.305,2018
20,TOR,0.319,2018
21,PHI,0.307,2018
22,KC,0.303,2018
23,TEX,0.315,2018
24,MIA,0.289,2018
25,CHW,0.304,2018
26,SD,0.294,2018
27,SF,0.29,2018
28,DET,0.295,2018
29,BAL,0.299,2018
0,HOU,0.355,2019
1,LAD,0.33799999999999997,2019
2,NYY,0.34600000000000003,2019
3,MIN,0.34700000000000003,2019
4,OAK,0.327,2019
5,BOS,0.33799999999999997,2019
6,ATL,0.332,2019
7,WAS,0.336,2019
8,CHC,0.33,2019
9,MIL,0.324,2019
10,NYM,0.325,2019
11,ARZ,0.319,2019
12,TB,0.321,2019
13,STL,0.314,2019
14,PHI,0.314,2019
15,LAA,0.316,2019
16,CLE,0.319,2019
17,SEA,0.314,2019
18,SD,0.305,2019
19,TOR,0.31,2019
20,CIN,0.312,2019
21,CHW,0.309,2019
22,PIT,0.313,2019
23,COL,0.32799999999999996,2019
24,SF,0.295,2019
25,KC,0.302,2019
26,TEX,0.317,2019
27,BAL,0.308,2019
28,MIA,0.28800000000000003,2019
29,DET,0.29,2019
