"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Reds","2370","6285","188","790","761","93","8.3 %","19.4 %",".164",".314",".272",".338",".436",".340","106","12.7","57.2","96.8","35.7"
"Yankees","2313","6379","201","859","823","103","10.4 %","17.8 %",".169",".300",".267",".350",".436",".346","112","12.1","101.5","-24.8","31.2"
"Rays","2361","6270","160","802","769","172","10.7 %","20.6 %",".156",".293",".247",".333",".403",".326","106","37.6","78.6","-3.2","30.7"
"Brewers","2262","6304","182","750","710","81","8.7 %","19.3 %",".161",".304",".262",".335",".424",".334","104","0.6","32.4","66.3","30.0"
"Twins","2290","6257","142","781","749","68","8.9 %","15.5 %",".148",".306",".273",".341",".422",".335","106","-15.8","29.5","17.9","27.8"
"Giants","2354","6143","162","697","660","55","7.9 %","17.9 %",".151",".293",".257",".321",".408",".320","98","-18.3","-31.6","95.2","25.8"
"Cardinals","2347","6241","150","736","689","79","8.7 %","16.5 %",".139",".296",".263",".332",".402",".322","99","1.8","-6.8","59.6","25.0"
"Red Sox","2327","6356","211","818","782","68","9.2 %","17.9 %",".183",".299",".268",".339",".451",".345","109","-7.2","59.7","-43.4","24.9"
"Blue Jays","2206","6072","257","755","732","58","7.8 %","19.2 %",".206",".269",".248",".312",".454",".334","105","-12.3","25.1","-9.9","23.7"
"Braves","2376","6252","139","738","699","63","10.1 %","18.2 %",".143",".301",".258",".339",".401",".327","100","-2.1","-2.9","41.9","23.6"
"Padres","2352","6148","132","665","630","124","8.8 %","19.2 %",".125",".290",".246",".317",".371",".304","92","9.3","-50.2","91.9","23.6"
"Tigers","2274","6312","152","751","717","69","8.7 %","18.2 %",".147",".311",".268",".335",".415",".330","102","9.7","23.9","-18.7","23.6"
"Phillies","2277","6291","166","772","736","108","8.9 %","16.9 %",".153",".292",".260",".332",".413",".327","99","13.3","5.5","27.4","23.1"
"Rangers","2312","6302","162","787","740","123","8.1 %","15.6 %",".143",".307",".276",".338",".419",".333","98","4.5","-7.1","-4.1","21.8"
"Diamondbacks","2271","6183","180","713","691","86","9.5 %","24.7 %",".166",".312",".250",".325",".416",".325","93","-8.3","-62.8","85.8","21.8"
"Athletics","2255","6117","109","663","619","156","8.6 %","17.3 %",".122",".297",".256",".324",".378",".313","95","17.8","-20.6","1.0","20.3"
"Nationals","2410","6100","149","655","634","110","8.2 %","20.0 %",".140",".294",".250",".318",".390",".313","90","-11.3","-84.4","59.9","16.6"
"Marlins","2300","6194","152","719","686","92","8.3 %","22.2 %",".149",".309",".254",".321",".403",".318","92","22.5","-36.2","2.7","15.9"
"White Sox","2212","6118","177","752","710","160","7.6 %","15.1 %",".152",".292",".268",".332",".420",".332","100","-8.1","-7.7","-56.3","15.7"
"Mets","2348","6144","128","656","625","130","8.2 %","17.8 %",".134",".287",".249",".314",".383",".307","89","10.6","-70.9","30.6","15.1"
"Angels","2236","6089","155","681","656","104","7.7 %","17.6 %",".142",".281",".248",".311",".390",".310","94","-8.8","-54.2","-24.1","14.1"
"Cubs","2307","6140","149","685","658","55","7.8 %","20.1 %",".145",".304",".257",".320",".401",".318","90","-10.3","-81.7","29.0","13.8"
"Rockies","2379","6265","173","770","741","99","9.3 %","20.3 %",".162",".310",".263",".336",".425",".333","91","9.3","-62.1","2.5","13.4"
"Dodgers","2310","6140","120","667","621","92","8.7 %","19.3 %",".127",".299",".252",".322",".379",".309","92","1.3","-60.6","3.4","13.3"
"Indians","2255","6165","128","646","601","91","8.8 %","19.2 %",".130",".293",".248",".322",".378",".311","94","1.3","-40.7","-70.3","11.0"
"Royals","2190","6209","121","676","640","115","7.6 %","14.6 %",".126",".305",".274",".331",".399",".323","98","-28.4","-42.1","-81.2","9.9"
"Orioles","2240","6109","133","613","577","76","6.9 %","17.3 %",".127",".296",".259",".316",".386",".310","87","-21.0","-111.8","-11.0","9.6"
"Astros","2358","6005","108","611","577","100","6.9 %","17.1 %",".115",".285",".247",".303",".362",".295","79","-6.4","-156.6","27.6","5.4"
"Mariners","2104","5989","101","513","485","142","7.7 %","19.8 %",".104",".282",".236",".298",".339",".285","79","-1.0","-148.8","-40.5","2.2"
"Pirates","2327","5974","126","587","570","87","7.8 %","20.2 %",".131",".288",".242",".304",".373",".300","84","-5.8","-119.0","-48.1","1.4"
