NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
1,Joey Votto,CIN,1B,3,82.5,2,97.2,2.8
2,Albert Pujols,STL,1B,2,83,6,94.1,3.3
3,Miguel Cabrera,DET,1B,1,84.5,1,97.9,3.8
4,Josh Hamilton,TEX,LF,6,73.6,7,93.9,5.3
5,Roy Halladay,PHI,SP,11,63.5,3,96.3,5.8
6,Robinson Cano,NYY,2B,5,78,19,88.8,9.5
6,Felix Hernandez,SEA,SP,22,55.7,4,95.2,9.5
8,Jose Bautista,TOR,RF,9,66.7,15,89.9,10
9,Adrian Gonzalez,SD,1B,12,61.4,9,93.6,13
10,Paul Konerko,CHW,1B,7,70.6,26,86.6,16.5
10,Matt Holliday,STL,LF,8,70.1,14,90.3,16.5
12,Adam Wainwright,STL,SP,10,65,32,85.7,18.5
13,Carlos Gonzalez,COL,LF,4,81.1,55,82.2,21.5
14,Evan Longoria,TB,3B,21,56.1,42,84,22.8
15,Aubrey Huff,SF,1B,23,52.4,30,86.1,23.5
16,Carl Demonte Crawford,TB,LF,18,58.5,27,86.6,23.8
17,Ryan Braun,MIL,LF,16,59.4,40,84.4,26.3
18,Shin-Soo Choo,CLE,RF,28,48.3,17,89.4,26.8
19,Roy Oswalt,PHI,SP,53,38.9,13,90.7,27.8
20,Ubaldo Jimenez,COL,SP,19,57.6,5,94.9,28.8
21,Jered Weaver,LAA,SP,45,42.7,34,85.5,29.8
22,Jayson Werth,PHI,RF,17,58.9,58,81.9,30.5
23,CC Sabathia,NYY,SP,29,48,22,88.1,34.8
24,Dan Uggla,FLA,2B,13,61.1,41,84.2,37.5
25,Ryan Zimmerman,WSH,3B,38,44.7,25,86.9,38
26,Joe Mauer,MIN,C,26,51.4,50,82.9,38.8
27,David Price,TB,SP,27,51.4,51,82.8,39.3
28,Rickie Weeks,MIL,2B,20,56.2,60,81.7,40.3
29,Josh Johnson,FLA,SP,51,39.8,32,85.7,40.8
30,David Wright,NYM,3B,37,44.9,71,78.3,43.3
31,Jon Lester,BOS,SP,40,44.3,44,83.9,45.8
32,Hanley Ramirez,FLA,SS,36,45.4,53,82.5,46.5
33,Alex Rodriguez,NYY,3B,48,41.3,24,87.1,47.3
34,Tim Hudson,ATL,SP,31,46.8,18,89,47.5
35,Troy Tulowitzki,COL,SS,24,52.2,125,70.5,49.8
36,David Ortiz,BOS,DH,30,47.1,63,80.3,50
37,Prince Fielder,MIL,1B,25,51.9,39,84.4,50.3
38,Brian Wilson,SF,RP,61,35.1,16,89.6,51
39,Nick Swisher,NYY,RF,41,44.2,61,81.2,51.5
40,Cliff Lee,TEX,SP,69,32.5,59,81.8,52.5
41,Nelson Cruz,TEX,RF,99,22.4,54,82.4,54.8
42,Justin Verlander,DET,SP,33,46.4,119,71.2,57.8
43,Kelly Johnson,ARI,2B,55,37.9,84,75.8,59
44,Rafael Soriano,TB,RP,34,45.6,12,90.9,59.3
44,Cole Hamels,PHI,SP,87,27.4,48,83.3,59.3
46,Kevin Youkilis,BOS,3B,95,25.3,57,82.1,60.5
47,Andrew McCutchen,PIT,CF,85,27.9,66,78.9,61.8
48,Matt Cain,SF,SP,78,29.7,36,85.1,62
49,Billy Butler,KC,DH,39,44.7,120,71.1,62.5
49,Carlos Marmol,CHC,RP,64,33.8,29,86.2,62.5
51,Neftali Feliz,TEX,RP,57,36.9,23,88,62.8
52,Corey Hart,MIL,RF,52,39.7,45,83.8,66.3
53,Joakim Soria,KC,RP,58,36.3,8,93.8,68
54,Chase Utley,PHI,2B,116,18.8,102,73.6,68.3
55,Johan Santana,NYM,SP,96,24.9,35,85.3,69.3
56,Brian McCann,ATL,C,98,23.9,67,78.8,69.5
57,Clayton Kershaw,LAD,SP,49,40.1,37,84.9,71
58,Adam Dunn,WSH,DH,44,43,46,83.7,71.3
59,Alex Rios,CHW,CF,88,27.3,73,77.8,74.5
59,Martin Prado,ATL,LF,50,39.9,152,68.1,74.5
59,Mat Latos,SD,SP,62,34.4,43,83.9,74.5
62,Brett Myers,HOU,SP,68,32.6,81,76.3,76.3
63,Chris Young,ARI,CF,56,37.6,124,70.7,79.3
64,Billy Wagner,ATL,RP,43,43.5,178,65.5,80.3
65,Adrian Beltre,BOS,3B,15,59.8,282,58.1,80.8
65,Mark Teixeira,NYY,1B,14,60.9,88,75.7,80.8
67,Jason Heyward,ATL,RF,67,33,11,91.9,83
68,Tim Lincecum,SF,SP,63,33.8,64,80,84
69,C.J. Wilson,TEX,SP,71,32.3,38,84.8,84.3
70,Scott Rolen,CIN,3B,151,14.8,72,78,84.5
71,Daniel Bard,BOS,RP,114,19.5,20,88.7,84.8
72,Vladimir Guerrero,TEX,DH,32,46.7,86,75.7,87.8
73,Vernon Wells,TOR,CF,77,30.5,80,76.5,88.5
74,Carlos Ruiz,PHI,C,79,28.8,112,72.2,89.8
75,Luke Scott,BAL,DH,115,19,94,75,90.3
76,Clay Buchholz,BOS,SP,34,45.6,31,85.7,91.8
77,Joaquin Benoit,TB,RP,72,32.3,106,73.2,94.3
78,Hong-Chih Kuo,LAD,RP,92,26.7,28,86.2,94.8
79,Brett Gardner,NYY,LF,82,28.1,129,70.2,96
80,Heath Bell,SD,RP,70,32.4,10,93.2,97.3
81,Andres Torres,SF,CF,148,15.2,110,72.7,100.3
82,Nick Markakis,BAL,RF,73,32.2,118,71.2,105
83,Mariano Rivera,NYY,RP,75,31.5,93,75.2,105.3
84,Trevor Cahill,OAK,SP,46,42.3,87,75.7,106.3
85,Victor Martinez,BOS,DH,138,16.3,132,69.8,107.8
86,Gio Gonzalez,OAK,SP,84,28.1,52,82.8,108.5
